Game ID,Player 1,Player 2,Winner
0,O,X,
1,O,X,
2,O,X,
3,O,X,
4,O,X,
5,O,X,
6,O,X,2.0
7,O,X,
8,O,X,
9,O,X,
10,O,X,
11,O,X,
12,O,X,
13,O,X,
14,O,X,
15,O,X,
16,O,X,1
